Depto,Nivel,Tipo,Area_privativa_m2,Porcentaje_Indiviso,%_Estacionamiento,m2_Estacionamiento,%_Cisterna,m2_Cisterna
A-01,Planta Baja,Opalo,72.4937,6.18389,6.18389,24.4497,6.18389,1.1736
A-02,Planta Baja,Rubi,74.0424,6.31600,6.31600,24.9720,6.31600,1.1987
A-03,Planta Baja,Rubi,74.0424,6.31600,6.31600,24.9720,6.31600,1.1987
A-04,Planta Baja,Opalo,72.4963,6.18411,6.18411,24.4506,6.18411,1.1737
A-05,Primer Nivel,Opalo,72.4937,6.18389,6.18389,24.4497,6.18389,1.1736
A-06,Primer Nivel,Rubi,74.0424,6.31600,6.31600,24.9720,6.31600,1.1987
A-07,Primer Nivel,Rubi,74.0424,6.31600,6.31600,24.9720,6.31600,1.1987
A-08,Primer Nivel,Opalo,72.4963,6.18411,6.18411,24.4506,6.18411,1.1737
A-09,Segundo Nivel,Opalo,72.4937,6.18389,6.18389,24.4497,6.18389,1.1736
A-10,Segundo Nivel,Rubi,74.0424,6.31600,6.31600,24.9720,6.31600,1.1987
A-11,Segundo Nivel,Rubi,74.0424,6.31600,6.31600,24.9720,6.31600,1.1987
A-12,Segundo Nivel,Opalo,72.4963,6.18411,6.18411,24.4506,6.18411,1.1737
A-13,Tercer Nivel,Opalo,72.4937,6.18389,6.18389,24.4497,6.18389,1.1736
A-14,Tercer Nivel,Rubi,74.0424,6.31600,6.31600,24.9720,6.31600,1.1987
A-15,Tercer Nivel,Rubi,74.0424,6.31600,6.31600,24.9720,6.31600,1.1987
A-16,Tercer Nivel,Opalo,72.4963,6.18411,6.18411,24.4506,6.18411,1.1737
TOTAL,,,,,100.00000,395.3765,100.00000,18.9787
